trans_date_trans_time,cc_num,merchant,category,amt,city,state,zip,trans_num,merch_zipcode,transaction_category
2020-08-02 07:55:28,377895991033232,"fraud_Bahringer, Schoen and Corkery",shopping_pos,1.07,Higganum,CT,6441,cf581d75ccc9ba838a05dec8bfa78b5b,6378.0,mobile transaction
2020-08-23 14:05:16,30364087349027,"fraud_Romaguera, Wehner and Tromp",kids_pets,94.99,Mounds,OK,74047,b1bfaf13224da41f422db483fd810dd7,74442.0,debit
2020-12-28 16:22:29,30328384440870,fraud_Berge-Hills,kids_pets,31.28,Browning,MO,64630,cde9fc0136873645778d0ad8817db655,64653.0,credit
2020-11-14 10:44:50,30364087349027,"fraud_Connelly, Reichert and Fritsch",gas_transport,73.06,Mounds,OK,74047,90b8429191e5c83df1afba4e5db4d61e,74633.0,debit
2020-10-19 01:50:09,4198470814557,fraud_Kuphal-Predovic,misc_net,9.99,Avoca,IA,51521,e4893795b6b3e41667129b9ed13b9650,50857.0,mobile transaction
2020-11-15 17:04:04,213126662687660,"fraud_Kihn, Brakus and Goyette",personal_care,28.5,Laredo,TX,78040,b76319f767c5b27731982851c12366ba,,bank transaction
2020-11-24 22:26:16,639023984367,"fraud_Roob, Conn and Tremblay",shopping_pos,9.09,Hannawa Falls,NY,13647,d21bc0886809d98c17b626db3c3c88d1,12916.0,bank transaction
2020-06-21 20:46:20,4990494243023,fraud_Fadel Inc,health_fitness,1.64,Corriganville,MD,21524,2ee3bc727806dde7f17d20394297acd1,16655.0,bank transaction
2020-12-12 10:15:23,4452366298769043,"fraud_Stroman, Hudson and Erdman",gas_transport,55.9,Blooming Grove,TX,76626,044fe6aac6c192d55144776bafdd0bd6,76140.0,credit
2020-12-04 16:31:41,180094419304907,fraud_Weimann-Lockman,kids_pets,50.61,Sun City,CA,92585,c397d59c441a8e74ffabd529da3cfb90,91001.0,bank transaction
2020-07-08 09:28:37,2284059275940012,fraud_Dibbert and Sons,entertainment,2.35,Moores Hill,IN,47032,695c8ffd5e510d9b01455e0d77b4d6b4,41043.0,bank transaction
2020-10-18 05:04:28,213154573301411,fraud_Gislason Group,misc_pos,35.91,Bristow,IN,47515,f9005efceb697e931f97c8bde065a760,42325.0,debit
2020-09-12 12:35:15,4642894980163,fraud_Nader-Maggio,personal_care,2.63,Clarinda,IA,51632,2310cccd8945d776190bad2bc43dc238,66515.0,debit
2020-07-28 16:08:49,30131826429364,"fraud_Schneider, Hayes and Nikolaus",food_dining,127.16,Knoxville,TN,37932,55707424c7dca4902d98337fdf4bf175,38571.0,credit
2020-10-07 09:39:15,6011399591920186,fraud_Bradtke PLC,grocery_pos,125.11,Sheffield,MA,1257,4c61fb159872cc74472f8e4c0f99e4e9,12601.0,bank transaction
2020-08-26 14:17:33,4939976756738216,fraud_Pollich LLC,home,168.65,Roma,TX,78584,f9aac37cf794997b1a921a6780de44fc,78576.0,mobile transaction
2020-09-05 07:45:48,376656886990758,"fraud_Adams, Kovacek and Kuhlman",grocery_net,66.36,Zavalla,TX,75980,d8de70f22faf89eba93ea1061407b34f,75845.0,debit
2020-09-28 19:22:16,567868110212,fraud_Spencer PLC,entertainment,91.11,Houston,TX,77007,e0e374406780407dbc92f8bf769c3ed9,77581.0,bank transaction
2020-11-09 05:48:59,4661996144291811856,"fraud_Moore, Dibbert and Koepp",misc_net,42.21,Fenelton,PA,16034,073e1dc01f024235bac8fb5f5d296123,16403.0,mobile transaction
